appliance_id,appliance_name,category,subcategory,field_group,field,value,unit,value_min,value_max,status,is_derived,source_tier,source_type,source_url,source_label,test_conditions,verified_date,confidence
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,running_watts,1800,W,935,1800,verified,false,official,brand_manual_pdf,https://www.manualslib.com/manual/132199/Porter-Cable-C2002.html,"Porter-Cable · C2002 air compressor manual, specification page","Porter-Cable C2002 specification page: 120 volts / 15 amps, converted to 1800 VA. The manufacturer does not state W or PF",2026-08-01,medium
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,running_watts_low,935,W,,,verified,false,official,brand_product_page,https://californiaairtools.com/product/california-air-tools-8010-ultra-quiet-1-0-hp-oil-free-lightweight-8-gallon-air-compressor/,California Air Tools · 8010 air compressor official specifications,California Air Tools 8010 official specifications: 110v 60hz / 8.5 Amps / 1.0 HP (Rated/Running) – 2.0 HP (Peak) / 1680 RPM,2026-08-01,medium
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,running_watts_high,1800,W,,,verified,false,official,brand_manual_pdf,https://www.manualslib.com/manual/132199/Porter-Cable-C2002.html,"Porter-Cable · C2002 air compressor manual, specification page","Porter-Cable C2002: 120 volts, 15 amps",2026-08-01,medium
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,startup_surge_multiplier,6,ratio,6,8.8,verified,true,official,government_standard,https://www.traskinstrumentation.com/pdf/app_notes/Single_and_Three_Pahase_Motor_Load_Current_Tables.pdf,NFPA NEC 2011 · Table 430.251(A) maximum locked-rotor current table for single-phase motors + Table 430.248 full-load current table for single-phase motors,"NEC Table 430.251(A) “Maximum Locked-Rotor Current in Amperes, Single Phase” 1 HP/115 V = 96 A; the same document's Table 430.248 “Full-Load Currents in Amperes, Single-Phase” 1 HP/115 V = 16 A → 6.0×. This ratio comes out the same, 6.0×, at 1/2 HP (58.8÷9.8) and at 1-1/2 HP (120÷20); it is the envelope ceiling given by the standard, not a measured value for any specific air compressor",2026-08-01,low
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,startup_surge_watts,,W,,,unknown,false,,,,,,,unknown
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,surge_duration_ms,,ms,,,unknown,false,,,,,,,unknown
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,motor_type,,,,,unknown,false,,,,,,,unknown
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,power_factor,,ratio,,,unknown,false,,,,,,,unknown
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,requires_pure_sine,,,,,unknown,false,,,,,,,unknown
air-compressor-pancake,Pancake air compressor,power_tools,portable_air_compressor,electrical,standby_watts,0,W,,,verified,false,official,brand_product_page,https://californiaairtools.com/product/california-air-tools-8010-ultra-quiet-1-0-hp-oil-free-lightweight-8-gallon-air-compressor/,California Air Tools · 8010 air compressor official specifications,The pressure switch stops the motor once the cutout pressure is reached; the manufacturer does not state the control circuit's standby power,2026-08-01,low
